country,iso_code,outcome,model,cooks_distance,studentized_residual,hat_value,cooks_threshold_4_over_n,flag_influential,flag_large_studentized_residual
Canada,CAN,death_rate,M2_primary,0.07010329630660551,-0.8755561477135478,0.5010835291097324,0.025,True,False
Guyana,GUY,death_rate,M2_primary,0.06946403465771493,2.3396001427953883,0.12571072697850164,0.025,True,True
United Arab Emirates,ARE,death_rate,M2_primary,0.0667744825187614,-2.639189515270042,0.09883579240507799,0.025,True,True
Kyrgyzstan,KGZ,death_rate,M2_primary,0.04922203049936239,-2.2205589837639392,0.10128780157081353,0.025,True,True
Tajikistan,TJK,death_rate,M2_primary,0.044458675780892534,-1.9419381455790712,0.11668069947629682,0.025,True,False
Tuvalu,TUV,death_rate,M2_primary,0.03963915003245057,2.346957912755199,0.0754055064803882,0.025,True,True
Maldives,MDV,death_rate,M2_primary,0.03785459035371573,-1.278717592113681,0.2036607510551622,0.025,True,False
Egypt,EGY,death_rate,M2_primary,0.03402838838423912,2.0069761072822003,0.08660545630989824,0.025,True,True
Gabon,GAB,death_rate,M2_primary,0.027126126841106813,1.793110135711259,0.08607669807205733,0.025,True,False
Palau,PLW,death_rate,M2_primary,0.02707886785250719,2.0631128772058505,0.06673756852093618,0.025,True,True
Eswatini,SWZ,death_rate,M2_primary,0.0257719342531289,1.9591386794652947,0.06999836587834954,0.025,True,False
Nicaragua,NIC,death_rate,M2_primary,0.02384723404507937,-2.0970110094036745,0.05750427266856131,0.025,False,True
Morocco,MAR,death_rate,M2_primary,0.020640006763814334,1.7307425951271578,0.07133067080598753,0.025,False,False
Honduras,HND,death_rate,M2_primary,0.018446021238794706,-1.7794430540148254,0.06104380355378009,0.025,False,False
Comoros,COM,death_rate,M2_primary,0.018409933600171232,-2.5853466743330014,0.030494177912423686,0.025,False,True
Bhutan,BTN,death_rate,M2_primary,0.018328122860320387,0.9307174987755402,0.18866278720522794,0.025,False,False
Laos,LAO,death_rate,M2_primary,0.017927301983103803,1.4389142736851126,0.0875315504807456,0.025,False,False
Fiji,FJI,death_rate,M2_primary,0.017486824309543493,1.7974460419978469,0.056985491528635954,0.025,False,False
Kuwait,KWT,death_rate,M2_primary,0.01661200750939389,-1.4249096594972448,0.08309192931354548,0.025,False,False
Trinidad and Tobago,TTO,death_rate,M2_primary,0.014761096643406559,1.6537716237354008,0.056657494337718654,0.025,False,False
South Africa,ZAF,death_rate,M2_primary,0.014239261577116167,1.5494050457998676,0.0617894054403308,0.025,False,False
Iraq,IRQ,death_rate,M2_primary,0.012695950331802108,1.4881218854629654,0.05977742127210609,0.025,False,False
Jordan,JOR,death_rate,M2_primary,0.011616495333322851,-1.2024759600963266,0.081419787581634,0.025,False,False
Djibouti,DJI,death_rate,M2_primary,0.011326823694450627,1.14163263465366,0.08741842604658384,0.025,False,False
Vanuatu,VUT,death_rate,M2_primary,0.010984904452005588,-1.2080335327232294,0.07668618445246406,0.025,False,False
South Korea,KOR,death_rate,M2_primary,0.010954178741636797,-1.1782637502170412,0.0800535092778911,0.025,False,False
Tanzania,TZA,death_rate,M2_primary,0.010101284804691397,-1.3375185415007356,0.058770417047843235,0.025,False,False
Central African Republic,CAF,death_rate,M2_primary,0.009791612752573947,1.4445823958608446,0.04942048594493218,0.025,False,False
Haiti,HTI,death_rate,M2_primary,0.008824843648034607,1.0409548916776932,0.0822618087439698,0.025,False,False
Afghanistan,AFG,death_rate,M2_primary,0.00864059720287162,-0.8050936212852482,0.12762101243647933,0.025,False,False
Bosnia and Herzegovina,BIH,death_rate,M2_primary,0.008268731870469725,-1.0699897311953452,0.07366520899955054,0.025,False,False
Lesotho,LSO,death_rate,M2_primary,0.0077799022904240876,1.7129669898010491,0.028696269763717527,0.025,False,False
Kenya,KEN,death_rate,M2_primary,0.007244054800798892,-1.0655804602112653,0.06563184303127943,0.025,False,False
Australia,AUS,death_rate,M2_primary,0.006938142655854648,-0.9256206444213085,0.08171981797334231,0.025,False,False
Myanmar,MMR,death_rate,M2_primary,0.006658307460001838,1.0266303713388893,0.06499773973944925,0.025,False,False
Belarus,BLR,death_rate,M2_primary,0.006483507899791727,1.5169894889431164,0.030314122512818342,0.025,False,False
Colombia,COL,death_rate,M2_primary,0.006343004850569024,-1.134098655390123,0.05155058147560021,0.025,False,False
Russia,RUS,death_rate,M2_primary,0.006004305608902727,1.6215553006329169,0.024764248718396654,0.025,False,False
Saudi Arabia,SAU,death_rate,M2_primary,0.005740709610538333,0.7965736962722546,0.09030950142804736,0.025,False,False
Tunisia,TUN,death_rate,M2_primary,0.005595964463599969,0.80004953527777,0.08753831365751327,0.025,False,False
Costa Rica,CRI,death_rate,M2_primary,0.0054438900844004405,-1.088725280111756,0.048147622542440136,0.025,False,False
Belize,BLZ,death_rate,M2_primary,0.005415612857159671,-0.9596243266934571,0.06072925006992399,0.025,False,False
Chad,TCD,death_rate,M2_primary,0.005410852917406221,1.3582328338752852,0.03142663516603161,0.025,False,False
Uruguay,URY,death_rate,M2_primary,0.005394329235361397,0.8752312249883489,0.07178759446095448,0.025,False,False
Singapore,SGP,death_rate,M2_primary,0.005295289732211826,-0.6326614599872326,0.1265917335721608,0.025,False,False
Senegal,SEN,death_rate,M2_primary,0.005269349068179734,-1.3859177859269711,0.029468622083019723,0.025,False,False
Nepal,NPL,death_rate,M2_primary,0.005216489510945308,-0.4440777006658113,0.22444880929235975,0.025,False,False
Suriname,SUR,death_rate,M2_primary,0.004985629903685599,0.9863005995719046,0.05335812020496991,0.025,False,False
Oman,OMN,death_rate,M2_primary,0.004952840532293135,-0.833163782173238,0.07263479430128478,0.025,False,False
Antigua and Barbuda,ATG,death_rate,M2_primary,0.00475193806505971,-0.613021383112443,0.12166094722003912,0.025,False,False
Algeria,DZA,death_rate,M2_primary,0.004647089497381754,0.9154491036544371,0.05743097288869133,0.025,False,False
India,IND,death_rate,M2_primary,0.004619852576911102,0.491967298529024,0.17280006867929798,0.025,False,False
Turkey,TUR,death_rate,M2_primary,0.004590389518601764,0.7051633810555779,0.09190250663968193,0.025,False,False
Mozambique,MOZ,death_rate,M2_primary,0.004408644998990004,-1.1375977778137911,0.03618836557236485,0.025,False,False
Sao Tome and Principe,STP,death_rate,M2_primary,0.004405815652419558,-1.0578653205356863,0.0415411635273273,0.025,False,False
Portugal,PRT,death_rate,M2_primary,0.004372361291278619,-1.0422735364725197,0.04242011916704485,0.025,False,False
Cameroon,CMR,death_rate,M2_primary,0.004291426573002796,0.8733550267595713,0.05819449124676966,0.025,False,False
Kazakhstan,KAZ,death_rate,M2_primary,0.004177457943603185,0.7800361860334979,0.07004759786516006,0.025,False,False
Chile,CHL,death_rate,M2_primary,0.004141694418221589,-0.8652048296479927,0.057277406085344595,0.025,False,False
Cambodia,KHM,death_rate,M2_primary,0.004113847403274317,-0.8492033178531386,0.05894142237687555,0.025,False,False
